uid,source_path,cached_path,config_hash,preprocessing_config,source_mtime,status,error,vmin,vmax,vmean,vstd,nonzero_fraction,all_finite,warnings
xaji0y6d,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\xaji0y6d.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\xaji0y6d_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260376.979135,cached,,0.0,1.0,0.26334699988365173,0.2392633557319641,0.8790473937988281,True,high_intensity_touches_boundary:y
pbhsahxt,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\pbhsahxt.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\pbhsahxt_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260372.8243015,cached,,0.0,1.0,0.20333661139011383,0.2320360392332077,0.76690673828125,True,high_intensity_touches_boundary:y
hv3a3zmf,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\hv3a3zmf.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\hv3a3zmf_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260368.8827028,cached,,0.0,1.0,0.20552681386470795,0.24953201413154602,0.7359237670898438,True,
8mdd4v30,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\8mdd4v30.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\8mdd4v30_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260363.9046826,cached,,0.0,1.0,0.23906591534614563,0.23841369152069092,0.8484916687011719,True,high_intensity_touches_boundary:y
t9nt3w5u,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\t9nt3w5u.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\t9nt3w5u_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260374.9231496,cached,,0.0,1.0,0.24849484860897064,0.26004284620285034,0.8399696350097656,True,
zbikcidk,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\zbikcidk.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\zbikcidk_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260378.201407,cached,,0.0,1.0,0.26151043176651,0.2885565757751465,0.7757530212402344,True,high_intensity_touches_boundary:y
wnnhj7xv,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\wnnhj7xv.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\wnnhj7xv_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260376.752545,cached,,0.0,1.0,0.27502286434173584,0.26476842164993286,0.8110885620117188,True,high_intensity_touches_boundary:y
g0fn9xuy,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\g0fn9xuy.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\g0fn9xuy_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260367.9476347,cached,,0.0,1.0,0.21995125710964203,0.23079922795295715,0.7753524780273438,True,high_intensity_touches_boundary:y
41ibljh7,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\41ibljh7.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\41ibljh7_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260361.4475255,cached,,0.0,1.0,0.23406553268432617,0.27074459195137024,0.7691726684570312,True,
5lxo6qji,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\5lxo6qji.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\5lxo6qji_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260362.3861184,cached,,0.0,1.0,0.2716418504714966,0.2893659770488739,0.8426284790039062,True,
ujv6oh9s,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\ujv6oh9s.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\ujv6oh9s_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260375.5598915,cached,,0.0,1.0,0.2602607011795044,0.2895638644695282,0.7937850952148438,True,high_intensity_touches_boundary:y
dbdw2pcn,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\dbdw2pcn.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\dbdw2pcn_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260366.2974622,cached,,0.0,1.0,0.2526029944419861,0.26281315088272095,0.7822303771972656,True,high_intensity_touches_boundary:y
9t84azyt,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\9t84azyt.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\9t84azyt_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260364.433982,cached,,0.0,1.0,0.21175450086593628,0.28086939454078674,0.6379470825195312,True,
jxepq85j,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\jxepq85j.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\jxepq85j_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260369.8866785,cached,,0.0,1.0,0.2900693118572235,0.2539895176887512,0.8800544738769531,True,high_intensity_touches_boundary:y
sg65kxvf,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\sg65kxvf.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\sg65kxvf_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260374.5117135,cached,,0.0,1.0,0.3168036937713623,0.29640746116638184,0.8590316772460938,True,high_intensity_touches_boundary:y
1t2tala7,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\niftis\1t2tala7.nii.gz,c:\Users\myben\OneDrive\Documents\GitHub\DaT-Parkinson\preproc_cache\1t2tala7_f84f2b8d5a9e.npy,f84f2b8d5a9e,"{""centroid_threshold_pct"": 0.4, ""crop_size"": 64, ""intensity_p_high"": 99, ""intensity_p_low"": 1, ""target_spacing_mm"": 2.9}",1785260360.2144022,cached,,0.0,1.0,0.22566184401512146,0.2756115198135376,0.7826194763183594,True,
