model,selected_calibration,calibration_helped,raw_log_loss,raw_auroc,raw_brier,calibrated_log_loss,calibrated_brier,sensitivity,specificity,kind
"Weighted average, optimized (expanded)",none,False,0.4685435173108448,0.8572438563327032,0.1537685584707101,0.4685435173108448,0.1537685584707101,0.7947826086956522,0.7521739130434782,ensemble
"Weighted average, optimized (original A+B+C)",none,False,0.474129603591464,0.8524347826086955,0.15582156343028405,0.474129603591464,0.15582156343028405,0.8069565217391305,0.7434782608695653,ensemble
Logistic stacker (expanded),none,False,0.4840327408088281,0.8470812854442344,0.1590611877289054,0.4840327408088281,0.1590611877289054,0.782608695652174,0.7521739130434782,ensemble
Logistic stacker (original A+B+C),none,False,0.48526382693924064,0.8471228733459357,0.1589112028697168,0.48526382693924064,0.1589112028697168,0.7860869565217391,0.741304347826087,ensemble
Path C-MedicalNet (pretrained 3D ResNet-18),none,False,0.5022533303309243,0.8342873345935728,0.16795906038856515,0.5022533303309243,0.16795906038856515,0.6660869565217391,0.8478260869565217,individual
Path C (3D CNN),none,False,0.5051450941188891,0.8269867674858222,0.1696862277867276,0.5051450941188891,0.1696862277867276,0.6991304347826087,0.7847826086956522,individual
Logit-space average (expanded),none,False,0.5219060726641196,0.8250132325141777,0.1737642084107885,0.5219060726641196,0.1737642084107885,0.7721739130434783,0.7304347826086957,ensemble
Path B (2.5D CNN),platt,True,0.5758504930751456,0.8183175803402646,0.17875254264526924,0.5330156846270309,0.1761945449451187,0.8,0.6717391304347826,individual
Equal-weight average (expanded),none,False,0.5570816317825044,0.8128468809073723,0.18631303559554552,0.5570816317825044,0.18631303559554552,0.7478260869565218,0.7347826086956522,ensemble
Path A (handcrafted + GBM),platt,True,0.7082370667651724,0.6469470699432892,0.24720389078074437,0.6813805376663824,0.2430097092728983,0.6608695652173913,0.5369565217391304,individual
Path A-registered (XGBoost),platt,True,0.728778574317464,0.598820415879017,0.260401334972496,0.6942637317398749,0.2504279126435297,0.6208695652173913,0.41739130434782606,individual
Path A-registered (linear SVM),platt,True,0.7045311964871213,0.531992438563327,0.2547544832918952,0.6967889667999551,0.2516983781412133,0.991304347826087,0.0,individual
Path A-registered (logistic regression),platt,True,0.729522973356866,0.5532551984877127,0.26137110622595416,0.7009371049276609,0.2534245208125827,0.9130434782608695,0.13260869565217392,individual
